"BoxID","Lon","Lat","1997 Jun","1997 Jul","1997 Aug","1998 Jun","1998 Jul","1998 Aug","1999 Jun","1999 Jul","1999 Aug","2000 Jun","2000 Jul","2000 Aug","2001 Jun","2001 Jul","2001 Aug","2002 Jun","2002 Jul","2002 Aug","2003 Jun","2003 Jul","2003 Aug","2004 Jun","2004 Jul","2004 Aug","2005 Jun","2005 Jul","2005 Aug","2006 Jun","2006 Jul","2006 Aug","2007 Jun","2007 Jul","2007 Aug","2008 Jun","2008 Jul","2008 Aug","2009 Jun","2009 Jul","2009 Aug","2010 Jun","2010 Jul","2010 Aug","2011 Jun","2011 Jul","2011 Aug"
697,74.401192,36.839497,-7.2526908,-5.8028517,-12.539722,-6.0652118,-5.9816194,-7.1922646,-5.0344014,-8.4237165,-6.3718691,-10.067039,-7.0028219,-4.8666492,-6.6307387,-6.3462825,-7.5652285,-5.5565281,-2.0150707,-6.250535,-4.9665761,-8.983346,-6.8787112,-4.8012743,-4.717063,-7.2829895,-6.9774847,-7.0546656,-4.2063498,-7.0699015,-5.9723806,-9.5673914,-7.6943674,-4.749331,-5.7021856,-3.4986529,-4.0338888,-7.4041791,-5.6191678,-5.9730539,-5.632617,-8.6617489,-10.851941,-10.309216,-3.7114437,-6.5521603,-8.7521124
698,75.059143,36.839497,-10.456364,-4.8762441,-11.464285,-6.7412329,-5.3580894,-6.9249134,-7.2082634,-5.9584427,-5.1887116,-7.6250439,-5.8092437,-5.0501857,-6.933639,-7.1749463,-6.0585623,-6.0331812,-2.0327709,-4.048027,-6.0077529,-6.7687297,-6.4204164,-7.4204564,-4.3215508,-6.7015972,-8.1329412,-6.5421724,-4.2766128,-6.3091326,-6.3402534,-8.4292564,-8.6560059,-4.9186945,-4.8589387,-3.2004113,-3.2598195,-6.9740233,-8.4146452,-6.2505126,-4.4886341,-10.494514,-8.8274536,-9.4102926,-4.0814166,-5.4609337,-7.1761432
699,75.717072,36.839497,-7.9832435,-5.0344357,-11.186623,-4.6632228,-4.5297465,-6.2067237,-6.7600904,-6.046792,-5.9165511,-8.1266823,-6.0035081,-5.0769849,-7.8835745,-7.1894712,-6.0427957,-4.4420676,-1.557796,-4.8343692,-4.2278695,-4.7352486,-5.6622782,-6.013895,-4.20049,-6.0938458,-5.7779064,-6.3057361,-3.7837121,-5.0718451,-6.2274723,-8.0002403,-7.6285911,-4.3058205,-4.3860826,-4.0775671,-2.9959705,-6.9301767,-5.0798655,-5.664115,-3.6799481,-9.3430014,-7.1395516,-7.3822813,-3.0204892,-4.0902882,-6.9850588
700,76.374985,36.839497,-9.266716,-5.8841367,-10.076767,-5.8025336,-5.3231211,-6.4385815,-6.6688914,-7.0011134,-7.0964127,-8.2213192,-8.0275583,-5.6038203,-9.1983862,-7.5260162,-7.0254292,-5.4988723,-2.2218657,-4.8689055,-4.4287629,-4.7610464,-6.4957871,-5.4748945,-5.1360531,-5.772171,-5.2804499,-6.5794373,-3.6687169,-5.3687711,-4.3795509,-9.0070972,-6.8846173,-5.2161684,-4.8077602,-4.024724,-2.7966223,-6.714613,-4.907867,-5.8313928,-4.1101785,-7.9515634,-7.0956941,-7.7709336,-4.0454955,-4.3822184,-6.891963
701,77.03289,36.839497,-8.8760185,-6.5767503,-10.504248,-6.1392946,-5.6131692,-6.2879133,-5.9972177,-7.7377248,-8.3075285,-8.0114841,-8.8006773,-6.1256471,-8.9531069,-8.0025988,-8.4635515,-6.1365061,-3.0966537,-8.8819275,-4.30125,-5.1639838,-7.8016996,-5.7063918,-6.1799107,-6.0301795,-5.4197693,-7.0066862,-4.6134129,-5.3954501,-5.0675349,-9.7614832,-6.1637321,-6.0294375,-5.8119378,-5.1453185,-3.7512405,-9.3456612,-4.623436,-6.2322817,-4.8695774,-8.0831127,-7.0193243,-8.6101313,-4.9957795,-4.9965281,-9.2508698
702,77.690788,36.839497,-10.553754,-7.9893732,-12.055904,-7.5227642,-6.7124076,-7.7196693,-7.4959984,-9.1585894,-8.8054981,-8.2388201,-9.3095865,-6.8096056,-10.174242,-8.910326,-9.2482204,-7.1039219,-3.7100291,-8.1769743,-5.8131123,-6.193687,-7.1434932,-7.2876978,-6.6798201,-6.3547254,-6.9447403,-7.9150057,-4.9927917,-7.2757897,-4.6165066,-9.9556284,-7.4967108,-6.8049898,-6.284595,-5.2147374,-3.7888329,-9.3040361,-5.5083232,-7.2810688,-5.9825239,-9.3203278,-8.3162231,-9.745945,-6.0628929,-5.71702,-8.0413933
703,78.348686,36.839497,-7.6508718,-6.0039258,-7.7533851,-5.6600223,-5.4235759,-6.6482801,-3.9321334,-8.667098,-9.55264,-5.6399074,-9.7013426,-6.5382533,-6.4991784,-7.149941,-9.12043,-4.8315825,-4.6153126,-7.4484692,-4.1609077,-5.297699,-8.9479885,-5.7408113,-8.0312548,-6.1833682,-6.7059417,-6.3101945,-5.2679386,-5.432714,-4.514843,-9.583272,-4.4525118,-5.8135977,-6.7635479,-5.5376143,-5.0017953,-12.628832,-4.9113202,-5.6138606,-5.8863268,-6.8232965,-7.0551143,-10.155334,-3.8378272,-5.0347624,-11.858313
704,79.006577,36.839497,-7.0601468,-5.3840141,-7.3147101,-5.7912798,-5.7041941,-6.8745222,-3.9941096,-7.7982097,-8.752574,-4.6370559,-10.100271,-6.47225,-5.814816,-7.2173719,-9.3973503,-5.052917,-5.0681543,-8.136672,-4.150249,-5.1198406,-9.2202082,-5.3267975,-8.146678,-5.8954391,-6.984448,-6.6769605,-5.7490911,-4.8948998,-4.7883945,-9.7210112,-4.6401014,-5.9190445,-6.7685194,-5.6310964,-5.2067823,-13.412944,-4.7398353,-5.1596694,-5.817759,-6.2049494,-7.9442019,-9.0159922,-3.3343377,-4.8396463,-11.830091
705,79.664474,36.839497,-6.0976534,-5.2946925,-7.1824479,-6.6383443,-6.0835729,-6.9776893,-4.1801605,-7.3073072,-8.7482967,-3.0442827,-10.269957,-5.9762321,-5.853127,-6.6393309,-9.4026318,-3.7616692,-4.1608481,NA,-4.0859485,-4.8889389,NA,-5.2480717,NA,NA,NA,-6.3825226,-5.8887925,-4.8123121,-4.643693,-8.5756264,-4.5026946,-5.6359992,-7.2794709,-7.2449465,-5.6637073,NA,-5.0286989,-5.6824446,-7.7765465,-5.0785594,-11.552606,-10.256235,-2.7745309,-3.9265399,NA
706,83.611839,36.839497,-5.7645965,-5.8389058,-7.5332308,-6.2443619,-6.482655,-8.8811722,-4.2169886,-8.1572685,-9.936964,-5.9104548,-11.273406,-7.3017068,-7.8571677,-7.4558926,-10.194385,-4.0775747,-6.5479751,-7.7564611,-3.9830418,-4.9381466,NA,-6.1018476,-9.4582415,NA,-6.6172252,-6.7300735,-7.7952652,-5.6006622,-5.2208686,-11.500957,-3.3290994,-6.3726869,-9.402564,-5.8557067,-6.9332066,-15.313093,-5.1436167,-6.0961194,-9.7375793,-6.7033706,-13.340629,-14.788476,-4.2796626,-6.2746086,-12.100315
